contig_id,feature_type,start,end,strand,length_bp,locus_tag,gene,product,protein_id,ec_number,db_xref,inference,cumulative_start,cumulative_end
S1A_contig_001,CDS,409380,410343,+,963,PROKKA_00395,,N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase precursor,BS:PROKKA_00395,3.5.1.26,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q47898,409380,410343
S1A_contig_001,CDS,410402,411302,+,900,PROKKA_00396,bglK_1,Beta-glucoside kinase,BS:PROKKA_00396,2.7.1.85,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q93LQ8,410402,411302
S1A_contig_001,CDS,411425,413813,-,2388,PROKKA_00397,xpkA_2,Xylulose-5-phosphate phosphoketolase,BS:PROKKA_00397,4.1.2.9,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q937F6,411425,413813
S1A_contig_001,CDS,414073,414835,-,762,PROKKA_00398,srlR_2,Glucitol operon repressor,BS:PROKKA_00398,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P15082,414073,414835
S1A_contig_001,CDS,415056,416148,+,1092,PROKKA_00399,gutB_1,Sorbitol dehydrogenase,BS:PROKKA_00399,1.1.1.14,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q06004,415056,416148
S1A_contig_001,CDS,416204,416630,+,426,PROKKA_00400,manX_2,PTS system mannose-specific EIIAB component,BS:PROKKA_00400,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q5XAF5,416204,416630
S1A_contig_001,CDS,416649,417126,+,477,PROKKA_00401,levE_1,Fructose-specific phosphotransferase enzyme IIB component,BS:PROKKA_00401,2.7.1.69,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P26380,416649,417126
S1A_contig_001,CDS,417144,417906,+,762,PROKKA_00402,manY_2,Mannose permease IIC component,BS:PROKKA_00402,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69801,417144,417906
S1A_contig_001,CDS,417902,418781,+,879,PROKKA_00403,manZ_3,Mannose permease IID component,BS:PROKKA_00403,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69805,417902,418781
S1A_contig_001,CDS,418811,419471,+,660,PROKKA_00404,rpe_1,Ribulose-phosphate 3-epimerase,BS:PROKKA_00404,5.1.3.1,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P74061,418811,419471
S1A_contig_001,CDS,419618,420464,+,846,PROKKA_00405,lsrF,putative aldolase LsrF,BS:PROKKA_00405,4.1.2.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P76143,419618,420464
S1A_contig_001,CDS,420482,421535,+,1053,PROKKA_00406,yjmD,putative zinc-type alcohol dehydrogenase-like protein YjmD,BS:PROKKA_00406,1.-.-.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O35045,420482,421535
S1A_contig_001,CDS,421668,422358,+,690,PROKKA_00407,rpiA_1,Ribose-5-phosphate isomerase A,BS:PROKKA_00407,5.3.1.6,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q8DTT9,421668,422358
S1A_contig_001,CDS,422785,423856,+,1071,PROKKA_00408,ulaG,putative L-ascorbate-6-phosphate lactonase UlaG,BS:PROKKA_00408,3.1.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P39300,422785,423856
S1A_contig_001,CDS,423993,424452,+,459,PROKKA_00409,ulaC_1,Ascorbate-specific phosphotransferase enzyme IIA component,BS:PROKKA_00409,2.7.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69820,423993,424452
S1A_contig_001,CDS,424471,425992,+,1521,PROKKA_00410,ulaA_1,Ascorbate-specific permease IIC component UlaA,BS:PROKKA_00410,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P39301,424471,425992
S1A_contig_001,CDS,426021,426315,+,294,PROKKA_00411,,PTS system ascorbate-specific transporter subunits IICB,BS:PROKKA_00411,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09548,426021,426315
S1A_contig_001,CDS,426431,427073,+,642,PROKKA_00412,sgbH,3-keto-L-gulonate-6-phosphate decarboxylase SgbH,BS:PROKKA_00412,4.1.1.85,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37678,426431,427073
S1A_contig_001,CDS,427108,427882,+,774,PROKKA_00413,srlR_3,Glucitol operon repressor,BS:PROKKA_00413,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P15082,427108,427882
S1A_contig_001,CDS,428072,428942,+,870,PROKKA_00414,ulaE,L-ribulose-5-phosphate 3-epimerase UlaE,BS:PROKKA_00414,5.1.3.22,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q8XDI5,428072,428942
S1A_contig_001,CDS,429035,429857,-,822,PROKKA_00415,yidA_1,Sugar phosphatase YidA,BS:PROKKA_00415,3.1.3.23,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0A8Y5,429035,429857
S1A_contig_001,CDS,430056,430785,+,729,PROKKA_00416,araD_1,L-ribulose-5-phosphate 4-epimerase,BS:PROKKA_00416,5.1.3.4,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P94525,430056,430785
S1A_contig_001,CDS,431036,431837,+,801,PROKKA_00417,fabG_1,3-oxoacyl-[acyl-carrier-protein] reductase FabG,BS:PROKKA_00417,1.1.1.100,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0A2C9,431036,431837
S1A_contig_001,CDS,431863,433732,+,1869,PROKKA_00418,licR_1,putative licABCH operon regulator,BS:PROKKA_00418,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P46321,431863,433732
S1A_contig_001,CDS,433732,434242,+,510,PROKKA_00419,,DNA-binding transcriptional activator GutM,BS:PROKKA_00419,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK10234,433732,434242
S1A_contig_001,CDS,434259,434829,+,570,PROKKA_00420,srlA,Glucitol/sorbitol permease IIC component,BS:PROKKA_00420,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P56579,434259,434829
S1A_contig_001,CDS,434970,436089,+,1119,PROKKA_00421,srlE,Glucitol/sorbitol-specific phosphotransferase enzyme IIB component,BS:PROKKA_00421,2.7.1.69,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P56580,434970,436089
S1A_contig_001,CDS,436115,436496,+,381,PROKKA_00422,,PTS system glucitol/sorbitol-specific transporter subunit IIA,BS:PROKKA_00422,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK10377,436115,436496
S1A_contig_001,CDS,436624,437296,+,672,PROKKA_00423,fsaA,Fructose-6-phosphate aldolase 1,BS:PROKKA_00423,4.1.2.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P78055,436624,437296
S1A_contig_001,CDS,437520,438156,-,636,PROKKA_00424,,hypothetical protein,BS:PROKKA_00424,,,ab initio prediction:Prodigal:2.6,437520,438156
S1A_contig_001,CDS,438139,438877,-,738,PROKKA_00425,ytrB_1,ABC transporter ATP-binding protein YtrB,BS:PROKKA_00425,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O34641,438139,438877
S1A_contig_001,CDS,438869,439337,-,468,PROKKA_00426,,helix-turn-helix protein,BS:PROKKA_00426,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF01381.16,438869,439337
S1A_contig_001,CDS,439861,441733,+,1872,PROKKA_00427,mtlR_2,Transcriptional regulator MtlR,BS:PROKKA_00427,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P96574,439861,441733
S1A_contig_001,CDS,441707,442064,+,357,PROKKA_00428,,hypothetical protein,BS:PROKKA_00428,,,ab initio prediction:Prodigal:2.6,441707,442064
S1A_contig_001,CDS,442243,442603,+,360,PROKKA_00429,,hypothetical protein,BS:PROKKA_00429,,,ab initio prediction:Prodigal:2.6,442243,442603
S1A_contig_001,CDS,442615,442984,+,369,PROKKA_00430,,hypothetical protein,BS:PROKKA_00430,,,ab initio prediction:Prodigal:2.6,442615,442984
S1A_contig_001,CDS,442985,443765,+,780,PROKKA_00431,,hypothetical protein,BS:PROKKA_00431,,,ab initio prediction:Prodigal:2.6,442985,443765
S1A_contig_001,CDS,443777,444476,+,699,PROKKA_00432,,hypothetical protein,BS:PROKKA_00432,,,ab initio prediction:Prodigal:2.6,443777,444476
S1A_contig_001,CDS,444642,445764,+,1122,PROKKA_00433,,dihydroorotase,BS:PROKKA_00433,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09237,444642,445764
S1A_contig_001,CDS,445760,446861,+,1101,PROKKA_00434,selA,L-seryl-tRNA(Sec) selenium transferase,BS:PROKKA_00434,2.9.1.1,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O67140,445760,446861
S1A_contig_001,CDS,446875,447640,+,765,PROKKA_00435,,hypothetical protein,BS:PROKKA_00435,,,ab initio prediction:Prodigal:2.6,446875,447640
S1A_contig_001,CDS,447802,449872,-,2070,PROKKA_00436,licR_2,putative licABCH operon regulator,BS:PROKKA_00436,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P46321,447802,449872
S1A_contig_001,CDS,449989,450622,-,633,PROKKA_00437,kdgA_2,KHG/KDPG aldolase,BS:PROKKA_00437,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P50846,449989,450622
S1A_contig_001,CDS,450755,451655,-,900,PROKKA_00438,dapA_2,4-hydroxy-tetrahydrodipicolinate synthase,BS:PROKKA_00438,4.3.3.7,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q04796,450755,451655
S1A_contig_001,CDS,451692,452952,-,1260,PROKKA_00439,ulaA_2,Ascorbate-specific permease IIC component UlaA,BS:PROKKA_00439,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P39301,451692,452952
S1A_contig_001,CDS,452984,453281,-,297,PROKKA_00440,,PTS system ascorbate-specific transporter subunits IICB,BS:PROKKA_00440,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09548,452984,453281
S1A_contig_001,CDS,453297,453753,-,456,PROKKA_00441,ulaC_2,Ascorbate-specific phosphotransferase enzyme IIA component,BS:PROKKA_00441,2.7.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69820,453297,453753
S1A_contig_001,CDS,454032,454638,+,606,PROKKA_00442,kdsD,Arabinose 5-phosphate isomerase KdsD,BS:PROKKA_00442,5.3.1.13,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P45395,454032,454638
S1A_contig_001,CDS,454849,456577,-,1728,PROKKA_00443,zraR,Transcriptional regulatory protein ZraR,BS:PROKKA_00443,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P14375,454849,456577
S1A_contig_001,CDS,456734,457736,+,1002,PROKKA_00444,kdgT,2-keto-3-deoxygluconate permease,BS:PROKKA_00444,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P50847,456734,457736
S1A_contig_001,CDS,457722,458946,+,1224,PROKKA_00445,,hypothetical protein,BS:PROKKA_00445,,,ab initio prediction:Prodigal:2.6,457722,458946
S1A_contig_001,CDS,458948,459929,+,981,PROKKA_00446,pdxA2,4-hydroxythreonine-4-phosphate dehydrogenase 2,BS:PROKKA_00446,1.1.1.262,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P58718,458948,459929
S1A_contig_001,CDS,460244,462350,+,2106,PROKKA_00447,mtlR_3,Transcriptional regulator MtlR,BS:PROKKA_00447,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P96574,460244,462350
S1A_contig_001,CDS,462327,462810,+,483,PROKKA_00448,,PTS system galactitol-specific transporter subunit IIA,BS:PROKKA_00448,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09665,462327,462810
S1A_contig_001,CDS,462828,463266,+,438,PROKKA_00449,,hypothetical protein,BS:PROKKA_00449,,,ab initio prediction:Prodigal:2.6,462828,463266
S1A_contig_001,CDS,463277,463583,+,306,PROKKA_00450,gatB_1,Galactitol-specific phosphotransferase enzyme IIB component,BS:PROKKA_00450,2.7.1.69,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37188,463277,463583
S1A_contig_001,CDS,463611,464883,+,1272,PROKKA_00451,gatC_1,Galactitol permease IIC component,BS:PROKKA_00451,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69831,463611,464883
S1A_contig_001,CDS,464933,465971,+,1038,PROKKA_00452,gutB_2,Sorbitol dehydrogenase,BS:PROKKA_00452,1.1.1.14,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q06004,464933,465971
S1A_contig_001,CDS,466021,466750,+,729,PROKKA_00453,,hypothetical protein,BS:PROKKA_00453,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK06357,466021,466750
S1A_contig_001,CDS,467088,468222,+,1134,PROKKA_00454,,hypothetical protein,BS:PROKKA_00454,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK10494,467088,468222
S1A_contig_001,CDS,468568,470053,+,1485,PROKKA_00455,licR_3,putative licABCH operon regulator,BS:PROKKA_00455,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P46321,468568,470053
S1A_contig_001,CDS,470030,470444,+,414,PROKKA_00456,,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",BS:PROKKA_00456,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF00359.1,470030,470444
S1A_contig_001,CDS,470449,470929,+,480,PROKKA_00457,fruB,Multiphosphoryl transfer protein,BS:PROKKA_00457,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69811,470449,470929
S1A_contig_001,CDS,471041,472379,+,1338,PROKKA_00458,gatC_2,Galactitol permease IIC component,BS:PROKKA_00458,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69831,471041,472379
S1A_contig_001,CDS,472455,472758,+,303,PROKKA_00459,gatB_2,Galactitol-specific phosphotransferase enzyme IIB component,BS:PROKKA_00459,2.7.1.69,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P37188,472455,472758
S1A_contig_001,CDS,472757,473621,+,864,PROKKA_00460,kbaY,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY",BS:PROKKA_00460,4.1.2.40,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q9KIP8,472757,473621
S1A_contig_001,CDS,473654,474347,+,693,PROKKA_00461,,triosephosphate isomerase,BS:PROKKA_00461,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK04302,473654,474347
S1A_contig_001,CDS,474343,474865,+,522,PROKKA_00462,,hypothetical protein,BS:PROKKA_00462,,,ab initio prediction:Prodigal:2.6,474343,474865
S1A_contig_001,CDS,475813,476068,+,255,PROKKA_00463,,Bacteriocin class II with double-glycine leader peptide,BS:PROKKA_00463,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF10439.3,475813,476068
S1A_contig_001,CDS,476072,476273,+,201,PROKKA_00464,,hypothetical protein,BS:PROKKA_00464,,,ab initio prediction:Prodigal:2.6,476072,476273
S1A_contig_001,CDS,476788,477274,+,486,PROKKA_00465,crr,Glucose-specific phosphotransferase enzyme IIA component,BS:PROKKA_00465,2.7.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P60857,476788,477274
S1A_contig_001,CDS,477347,478097,+,750,PROKKA_00466,glvR_1,HTH-type transcriptional regulator GlvR,BS:PROKKA_00466,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P54717,477347,478097
S1A_contig_001,CDS,478241,479729,-,1488,PROKKA_00467,acpA,Capsule synthesis positive regulator AcpA,BS:PROKKA_00467,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q44643,478241,479729
S1A_contig_001,CDS,479884,480397,+,513,PROKKA_00468,,hypothetical protein,BS:PROKKA_00468,,,ab initio prediction:Prodigal:2.6,479884,480397
S1A_contig_001,CDS,480439,481066,+,627,PROKKA_00469,,hypothetical protein,BS:PROKKA_00469,,,ab initio prediction:Prodigal:2.6,480439,481066
S1A_contig_001,CDS,481071,481443,+,372,PROKKA_00470,,hypothetical protein,BS:PROKKA_00470,,,ab initio prediction:Prodigal:2.6,481071,481443
S1A_contig_001,CDS,481517,484652,+,3135,PROKKA_00471,,hypothetical protein,BS:PROKKA_00471,,,ab initio prediction:Prodigal:2.6,481517,484652
S1A_contig_001,CDS,484851,485052,+,201,PROKKA_00472,,hypothetical protein,BS:PROKKA_00472,,,ab initio prediction:Prodigal:2.6,484851,485052
S1A_contig_001,CDS,485393,488483,+,3090,PROKKA_00473,xly,Xanthan lyase precursor,BS:PROKKA_00473,4.2.2.12,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q9AQS0,485393,488483
S1A_contig_001,CDS,488739,490344,+,1605,PROKKA_00474,malX_1,PTS system maltose- and glucose-specific EIICB component,BS:PROKKA_00474,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P19642,488739,490344
S1A_contig_001,CDS,490406,491792,+,1386,PROKKA_00475,aglB,6-phospho-alpha-glucosidase,BS:PROKKA_00475,3.2.1.122,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q9AGA6,490406,491792
S1A_contig_001,CDS,492075,492777,+,702,PROKKA_00476,mprA,Response regulator MprA,BS:PROKKA_00476,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q7U0X4,492075,492777
S1A_contig_001,CDS,492792,494184,+,1392,PROKKA_00477,arlS_1,Signal transduction histidine-protein kinase ArlS,BS:PROKKA_00477,2.7.13.3,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q7A5N3,492792,494184
S1A_contig_001,CDS,494393,495050,+,657,PROKKA_00478,yghB_1,Inner membrane protein YghB,BS:PROKKA_00478,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0AA60,494393,495050
S1A_contig_001,CDS,495039,495711,+,672,PROKKA_00479,,phosphatidylglycerophosphatase B,BS:PROKKA_00479,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK10699,495039,495711
S1A_contig_001,CDS,495712,496654,+,942,PROKKA_00480,ykoT_1,putative glycosyltransferase YkoT,BS:PROKKA_00480,2.4.-.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O34755,495712,496654
S1A_contig_001,CDS,496665,498630,+,1965,PROKKA_00481,,hypothetical protein,BS:PROKKA_00481,,,ab initio prediction:Prodigal:2.6,496665,498630
S1A_contig_001,CDS,498787,499477,+,690,PROKKA_00482,rpiA_2,Ribose-5-phosphate isomerase A,BS:PROKKA_00482,5.3.1.6,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q8DTT9,498787,499477
S1A_contig_001,CDS,499545,500190,+,645,PROKKA_00483,,DNA alkylation repair enzyme,BS:PROKKA_00483,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF08713.5,499545,500190
S1A_contig_001,CDS,500803,501556,-,753,PROKKA_00484,,hypothetical protein,BS:PROKKA_00484,,,ab initio prediction:Prodigal:2.6,500803,501556
S1A_contig_001,CDS,502016,503699,-,1683,PROKKA_00485,malL_1,"Oligo-1,6-glucosidase",BS:PROKKA_00485,3.2.1.10,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P29094,502016,503699
S1A_contig_001,CDS,504205,505054,+,849,PROKKA_00486,,bifunctional 3-demethylubiquinone-9 3-methyltransferase/ 2-octaprenyl-6-hydroxy phenol methylase,BS:PROKKA_00486,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK05134,504205,505054
S1A_contig_001,CDS,505309,506107,-,798,PROKKA_00487,glpR_1,Glycerol-3-phosphate regulon repressor,BS:PROKKA_00487,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0ACL0,505309,506107
S1A_contig_001,CDS,506312,506792,+,480,PROKKA_00488,,PTS system galactitol-specific transporter subunit IIA,BS:PROKKA_00488,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09665,506312,506792
S1A_contig_001,CDS,506823,507144,+,321,PROKKA_00489,,"PTS system, Lactose/Cellobiose specific IIB subunit",BS:PROKKA_00489,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF02302.11,506823,507144
S1A_contig_001,CDS,507175,508768,+,1593,PROKKA_00490,gatC_3,Galactitol permease IIC component,BS:PROKKA_00490,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69831,507175,508768
S1A_contig_001,CDS,508736,508997,+,261,PROKKA_00491,,hypothetical protein,BS:PROKKA_00491,,,ab initio prediction:Prodigal:2.6,508736,508997
S1A_contig_001,CDS,508993,509722,+,729,PROKKA_00492,araD_2,L-ribulose-5-phosphate 4-epimerase,BS:PROKKA_00492,5.1.3.4,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P08203,508993,509722
S1A_contig_001,CDS,510154,510880,-,726,PROKKA_00493,gmuR_2,HTH-type transcriptional regulator GmuR,BS:PROKKA_00493,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O05509,510154,510880
S1A_contig_001,CDS,511105,512431,+,1326,PROKKA_00494,gmuC_2,Oligo-beta-mannoside permease IIC component,BS:PROKKA_00494,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O05507,511105,512431
S1A_contig_001,CDS,512479,515119,+,2640,PROKKA_00495,mngB_1,Mannosylglycerate hydrolase,BS:PROKKA_00495,3.2.1.170,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P54746,512479,515119
S1A_contig_001,CDS,515115,516411,+,1296,PROKKA_00496,,hypothetical protein,BS:PROKKA_00496,,,ab initio prediction:Prodigal:2.6,515115,516411
S1A_contig_001,CDS,516407,517283,+,876,PROKKA_00497,bglK_2,Beta-glucoside kinase,BS:PROKKA_00497,2.7.1.85,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q93LQ8,516407,517283
S1A_contig_001,CDS,517357,518788,+,1431,PROKKA_00498,gmuD,6-phospho-beta-glucosidase GmuD,BS:PROKKA_00498,3.2.1.86,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O05508,517357,518788
S1A_contig_001,CDS,518780,519095,+,315,PROKKA_00499,licB_2,Lichenan-specific phosphotransferase enzyme IIB component,BS:PROKKA_00499,2.7.1.69,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P46318,518780,519095
S1A_contig_001,CDS,519178,519496,+,318,PROKKA_00500,licA_2,Lichenan-specific phosphotransferase enzyme IIA component,BS:PROKKA_00500,2.7.1.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P46319,519178,519496
S1A_contig_001,CDS,519671,520496,-,825,PROKKA_00501,manZ_4,Mannose permease IID component,BS:PROKKA_00501,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69805,519671,520496
S1A_contig_001,CDS,520470,521277,-,807,PROKKA_00502,agaC_2,N-acetylgalactosamine permease IIC component 1,BS:PROKKA_00502,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P42910,520470,521277
S1A_contig_001,CDS,521494,522433,-,939,PROKKA_00503,manX_3,PTS system mannose-specific EIIAB component,BS:PROKKA_00503,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P69797,521494,522433
S1A_contig_001,CDS,522651,523896,+,1245,PROKKA_00504,,Alpha-L-fucosidase,BS:PROKKA_00504,,,ab initio prediction:Prodigal:2.6;protein motif:Pfam:PF01120.11,522651,523896
S1A_contig_001,CDS,523956,524694,+,738,PROKKA_00505,yydK_1,putative HTH-type transcriptional regulator YydK,BS:PROKKA_00505,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q45591,523956,524694
S1A_contig_001,CDS,525437,526952,+,1515,PROKKA_00506,glpK_1,Glycerol kinase,BS:PROKKA_00506,2.7.1.30,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:O34154,525437,526952
S1A_contig_001,CDS,527056,527809,-,753,PROKKA_00507,glvR_2,HTH-type transcriptional regulator GlvR,BS:PROKKA_00507,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P54717,527056,527809
S1A_contig_001,CDS,527934,528864,+,930,PROKKA_00508,pfkB,6-phosphofructokinase isozyme 2,BS:PROKKA_00508,2.7.1.11,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P06999,527934,528864
S1A_contig_001,CDS,528867,530850,+,1983,PROKKA_00509,fruA_1,PTS system fructose-specific EIIABC component,BS:PROKKA_00509,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P71012,528867,530850
S1A_contig_001,CDS,531431,531905,+,474,PROKKA_00510,,hypothetical protein,BS:PROKKA_00510,,,ab initio prediction:Prodigal:2.6,531431,531905
S1A_contig_001,CDS,532060,532759,-,699,PROKKA_00511,ydfK,putative membrane protein YdfK,BS:PROKKA_00511,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P96689,532060,532759
S1A_contig_001,CDS,533159,534353,+,1194,PROKKA_00512,,recombinase A,BS:PROKKA_00512,,,ab initio prediction:Prodigal:2.6;protein motif:CLUSTERS:PRK09354,533159,534353
S1A_contig_001,CDS,534657,535860,-,1203,PROKKA_00513,lysN,2-aminoadipate transaminase,BS:PROKKA_00513,2.6.1.39,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:Q72LL6,534657,535860
S1A_contig_001,CDS,536109,537012,+,903,PROKKA_00514,gltC_1,HTH-type transcriptional regulator GltC,BS:PROKKA_00514,,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P20668,536109,537012
S1A_contig_001,CDS,537017,537500,-,483,PROKKA_00515,rnhA_1,Ribonuclease H,BS:PROKKA_00515,3.1.26.4,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P29253,537017,537500
S1A_contig_001,CDS,537596,538409,+,813,PROKKA_00516,ywpJ_1,Putative phosphatase YwpJ,BS:PROKKA_00516,3.1.3.-,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P94592,537596,538409
S1A_contig_001,CDS,538453,539140,+,687,PROKKA_00517,gpmA_1,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",BS:PROKKA_00517,5.4.2.11,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P99153,538453,539140
S1A_contig_001,CDS,539145,539823,-,678,PROKKA_00518,,hypothetical protein,BS:PROKKA_00518,,,ab initio prediction:Prodigal:2.6,539145,539823
S1A_contig_001,CDS,540111,540375,-,264,PROKKA_00519,,hypothetical protein,BS:PROKKA_00519,,,ab initio prediction:Prodigal:2.6,540111,540375
S1A_contig_001,CDS,540682,541027,+,345,PROKKA_00520,,hypothetical protein,BS:PROKKA_00520,,,ab initio prediction:Prodigal:2.6,540682,541027
S1A_contig_001,CDS,541089,541902,+,813,PROKKA_00521,yidA_2,Sugar phosphatase YidA,BS:PROKKA_00521,3.1.3.23,,ab initio prediction:Prodigal:2.6;similar to AA sequence:UniProtKB:P0A8Y5,541089,541902
