contig_id,start,end,strand,locus_tag,gene,product,tf_family,evidence_tier,pfam_domains,pfam_all,uniprot_hit,in_bacteriocin_locus,locus_id
S1A_contig_017,27844,28495,-,PROKKA_02692,,DNA-binding transcriptional repressor AcrR,TetR/AcrR,product_name,,,,,
S1A_contig_018,6340,7171,-,PROKKA_02721,,Sugar-specific transcriptional regulator TrmB,TrmB,direct_domain,PF01978,PF01978,,,
S1A_contig_018,22508,22943,-,PROKKA_02739,,transcriptional regulator SlyA,unassigned family,none,,,,,
S1A_contig_018,31962,32970,-,PROKKA_02748,degA,HTH-type transcriptional regulator DegA,LacI/GalR,homology_domain,PF00356;PF13377,PF00356;PF13377,P37947,,
S1A_contig_019,3658,4114,-,PROKKA_02763,argR_2,Arginine repressor,unassigned family,none,,PF01316;PF02863,O31408,,
S1A_contig_019,11075,11474,-,PROKKA_02771,spxA_2,Regulatory protein Spx,Spx,product_name,,PF03960,O31602,,
S1A_contig_019,16274,16949,+,PROKKA_02776,graR_2,Response regulator protein GraR,OmpR/PhoB response regulator,homology_domain,PF00072;PF00486,PF00072;PF00486,Q5HI09,,
S1A_contig_019,21226,21667,-,PROKKA_02780,copY,Transcriptional repressor CopY,BlaI/MecI,homology_domain,PF03965,PF03965,Q47839,,
S1A_contig_021,6870,7854,-,PROKKA_02824,lacR_3,HTH-type transcriptional regulator LacR,LacI/GalR,homology_domain,PF00356;PF13377,PF00356;PF13377,Q7WTB0,,
S1A_contig_021,17379,18120,+,PROKKA_02834,mngR,Mannosyl-D-glycerate transport/metabolism system repressor MngR,GntR,homology_domain,PF00392,PF00392;PF07702,P13669,,
S1A_contig_023,17758,18712,-,PROKKA_02863,,Helix-turn-helix domain protein,XRE/Cro-CI,direct_domain,PF12844,PF12844,,,
S1A_contig_024,376,817,-,PROKKA_02865,perR,Peroxide operon regulator,Fur/Zur/PerR,homology_domain,PF01475,PF01475,P71086,,
